beta_start,alternative_pacc,beta_k,q,steps_per_temperature,threshold,threshold_acceptanc_rate,final_steps_to_convergence,final_path_distance,final_beta_value
1,False,11.233218021148659,1.35,10000,5e-05,0.1,4883,8.994168648591948,11.233218021148659
1,True,7.668509199927321e+157,1.35,10000,5e-05,0.1,10000,7.051937421381965,7.668509199927321e+157
1,False,3.295640670520738e+62,1.35,12500,5e-05,0.1,1012,7.97014338144921,3.295640670520738e+62
1,True,1.318932139844116e+56,1.35,12500,5e-05,0.1,3515,7.289670762922351,1.318932139844116e+56
1,False,2.5740236217819532e+16,1.5,2500,5e-05,0.1,728,8.414950006919492,2.5740236217819532e+16
1,True,1.484977954408555e+79,1.5,2500,5e-05,0.1,2283,7.191391644002828,1.484977954408555e+79
1,False,4.334100933115945e+81,1.5,5000,5e-05,0.1,31,7.506125159211907,4.334100933115945e+81
1,True,2.6758181995540125e+175,1.5,5000,5e-05,0.1,5000,7.52827788403825,2.6758181995540125e+175
1,False,4.887181917508107e+35,1.5,7500,5e-05,0.1,6575,7.2905387969828555,4.887181917508107e+35
1,True,1.500228122298143e+94,1.5,7500,5e-05,0.1,4349,7.341806409194482,1.500228122298143e+94
1,False,14.69693845669907,1.5,10000,5e-05,0.1,3962,8.691611229633853,14.69693845669907
1,True,14.69693845669907,1.5,10000,5e-05,0.1,8192,8.74053447921611,14.69693845669907
1,False,14.69693845669907,1.5,12500,5e-05,0.1,8034,9.740615576110754,14.69693845669907
1,True,2.6758181995540125e+175,1.5,12500,5e-05,0.1,12500,7.282024319158994,2.6758181995540125e+175
