beta_start,alternative_pacc,beta_k,q,steps_per_temperature,threshold,threshold_acceptanc_rate,final_steps_to_convergence,final_path_distance,final_beta_value
1,False,6.856515617816275,0.4,2500,5e-05,0.1,2500,11.2811030452845,6.856515617816275
1,True,6.890426139813258,0.4,2500,5e-05,0.1,2500,13.126493014179111,6.890426139813258
1,False,6.766758644297234,0.4,5000,5e-05,0.1,5000,12.688704915338093,6.766758644297234
1,True,6.697132884562855,0.4,5000,5e-05,0.1,5000,13.115951921245596,6.697132884562855
1,False,6.740467553295667,0.4,7500,5e-05,0.1,7500,11.144720600812349,6.740467553295667
1,True,6.7992042292858885,0.4,7500,5e-05,0.1,7500,13.109804976211448,6.7992042292858885
1,False,6.812730989575424,0.4,10000,5e-05,0.1,10000,12.330878274393967,6.812730989575424
1,True,6.608094032320614,0.4,10000,5e-05,0.1,10000,11.189657794621183,6.608094032320614
1,False,6.690254468076284,0.4,12500,5e-05,0.1,12500,12.510155408899202,6.690254468076284
1,True,6.576393278285755,0.4,12500,5e-05,0.1,12500,11.735506911747308,6.576393278285755
1,False,6.856515617816275,0.6,2500,5e-05,0.1,2500,11.2811030452845,6.856515617816275
1,True,6.890426139813258,0.6,2500,5e-05,0.1,2500,13.126493014179111,6.890426139813258
1,False,6.766758644297234,0.6,5000,5e-05,0.1,5000,12.688704915338093,6.766758644297234
1,True,6.697132884562855,0.6,5000,5e-05,0.1,5000,13.115951921245596,6.697132884562855
1,False,6.740467553295667,0.6,7500,5e-05,0.1,7500,11.144720600812349,6.740467553295667
1,True,6.7992042292858885,0.6,7500,5e-05,0.1,7500,13.109804976211448,6.7992042292858885
1,False,6.812730989575424,0.6,10000,5e-05,0.1,10000,12.330878274393967,6.812730989575424
1,True,6.608094032320614,0.6,10000,5e-05,0.1,10000,11.189657794621183,6.608094032320614
1,False,6.690254468076284,0.6,12500,5e-05,0.1,12500,12.510155408899202,6.690254468076284
1,True,6.576393278285755,0.6,12500,5e-05,0.1,12500,11.735506911747308,6.576393278285755
1,False,6.856515617816275,0.8,2500,5e-05,0.1,2500,11.2811030452845,6.856515617816275
1,True,6.890426139813258,0.8,2500,5e-05,0.1,2500,13.126493014179111,6.890426139813258
1,False,6.766758644297234,0.8,5000,5e-05,0.1,5000,12.688704915338093,6.766758644297234
1,True,6.697132884562855,0.8,5000,5e-05,0.1,5000,13.115951921245596,6.697132884562855
